KabKota_Angka,Pengeluaran_PerKapita,Total_Pengeluaran_RT,Makanan_Rupiah,NonMakanan_Rupiah,Kalori_PerKapita,Penimbang_Penduduk,Penimbang_RT
1,1232650.793650793,3697952.380952381,2404285.714285714,1293666.666666666,2705.049642857142,2795.87763200915,931.9592106697166
1,924111.9047619049,4620559.523809524,2804142.857142857,1816416.666666666,1925.500469387754,7856.490726617904,1571.29814532358
1,1280220.238095238,5120880.952380953,2284714.285714286,2836166.666666666,1767.814336734694,16783.00916781933,4195.752291954832
1,789982.142857143,3159928.571428571,2166428.571428571,993500,2285.466428571428,201.3600064418778,50.34000161046945
1,1259095.238095238,3777285.714285714,2854285.714285714,923000,2423.575034013605,671.6076252478817,223.8692084159606
1,1024148.809523809,4096595.238095237,2451428.571428571,1645166.666666666,1700.420357142857,1272.213683786402,318.0534209466007
1,555660.7142857143,1111321.428571428,743571.4285714285,367750.0000000001,1791.196428571428,44.55822849702632,22.27911424851316
1,1464595.238095237,1464595.238095237,951428.5714285712,513166.6666666666,2859.022142857142,22.27911424851316,22.27911424851316
1,1006309.523809523,1006309.523809523,527142.857142857,479166.6666666665,2573.096020408163,22.27911424851316,22.27911424851316
1,825651.7857142859,3302607.142857143,2082857.142857143,1219750,1827.093826530612,1824.776850974575,456.1942127436438
1,411718.253968254,2470309.523809524,1787142.857142857,683166.6666666666,1833.073095238095,2734.825795544745,455.8042992574576
1,433932.5396825396,1301797.619047618,859714.2857142854,442083.3333333333,1834.231309523809,3025.950772504986,1008.650257501662
1,636744.0476190475,2546976.19047619,1547142.857142857,999833.3333333333,1786.425714285714,890.9312632721945,222.7328158180486
1,1519285.714285714,6077142.857142856,2456142.857142856,3620999.999999999,1235.585178571428,10621.72606923565,2655.431517308913
1,315650,1578250,1239000,339250,1144.289657142856,8242.963720369193,1648.592744073838
1,545145.8333333333,2180583.333333333,1326000,854583.3333333336,1855.40219387755,8905.651385799087,2226.412846449771
1,487883.9285714285,1951535.714285714,1039285.714285714,912249.9999999998,1275.232499999999,9455.12816857248,2363.78204214312
1,643785.7142857142,2575142.857142856,1523142.857142857,1051999.999999999,1742.075408163265,7258.368172979267,1814.592043244816
1,402509.2261904762,1610036.904761904,921428.5714285712,688608.3333333334,1199.836836734693,6683.926442466671,1670.981610616667
1,537577.3809523808,1075154.761904761,719571.4285714284,355583.3333333333,2065.945714285714,1247.90943278659,623.9547163932954
1,582309.5238095237,4076166.666666666,2489999.999999999,1586166.666666666,1505.4810787172,22954.83699211346,3279.26242744478
1,457721.4285714285,1830885.714285714,1123285.714285714,707600,1720.597857142857,5446.766104293632,1361.691526073408
1,642199.4047619047,2568797.619047618,1522714.285714285,1046083.333333333,1532.839744897959,16783.00916781933,4195.752291954832
1,2084698.412698413,12508190.47619047,8856857.142857144,3651333.333333333,3008.79738095238,6712.933528590843,1118.82225476514
1,1673250,1673250,836999.9999999998,836250,3151.945714285714,139.0286907625469,139.0286907625469
1,1523202.380952381,6092809.523809524,3347142.857142856,2745666.666666666,2318.485357142857,1714.124416010339,428.5311040025849
1,1393468.253968253,4180404.761904762,2447571.428571428,1732833.333333333,2491.136666666666,477.782838742334,159.2609462474446
1,676130.9523809523,2704523.809523809,1776857.142857142,927666.6666666666,2331.094999999999,829.8000829706559,207.4500207426639
1,2007857.142857142,4015714.285714285,2632714.285714285,1383000,3488.469285714285,119.3937726140638,59.69688630703193
